id,code,fullName,categoryName,name,unit,orderTemplate,basePrice,Cost,modifiedDate,whole,whole.p2,Nếp 101,Chú Đức,whole.p10,Nếp 2,whole.p5,Cô Bắc nếp chùm,basecost,utdao,test,retail.50,wholesale.price
20035728,gd-pt-m-l1,Gạo Phế Thơm (lẻ 1 kg),Gạo dẻo - nguyên liệu,Gạo Phế Thơm,lẻ 1 kg,phế thơm nàng hoa mới,"16,500",14879.67,2024-03-20 09:55:32,"15,500",,,,"16,500",,"16,000",,"14,500","15,300",,,
10745272,giao-hang,Giao hàng,Dịch vụ,Giao hàng,,,,0,2024-03-04 15:22:21,,,,,,,,,,,,,
3749580,gd-hlm-m-l1,Lài Miên (lẻ 1 kg),Gạo dẻo - gia đình,Lài Miên,lẻ 1 kg,Lài miên 6 tháng 23,"25,000",20548.41,2024-03-20 16:17:06,"21,600","21,800",,,"22,600",,"22,100",,"20,600","21,400",,"22,000",
3749604,lgl-lua-m-l1,Lúa tròn (lẻ 1 kg),Lúa - Gạo Lứt,Lúa tròn,lẻ 1 kg,Lúa gà việt dài,"15,000",11428.69,2024-03-20 16:14:33,"12,600","12,800",,,"13,600",,,,"11,600","12,400",,"12,500",
3749605,lgl-lg-m-l1,Lứt gà (lẻ 1 kg),Lúa - Gạo Lứt,Lứt gà,lẻ 1 kg,"lứt rượu, gà, chim","17,000",13400,2024-03-20 16:14:23,"14,400","14,600",,,"15,400",,,,"13,400","14,200",,"15,500",
3749603,mat-ong,Mật Ong Bến Tre (500ml) (chai),Các loại khác,Mật Ong Bến Tre (500ml),chai,,"160,000",0,2024-03-04 15:22:21,,"150,000",,,,,,,,,,,
3749599,k-men-t-l1,Men cơm rượu (lẻ 1 viên),Các loại khác,Men cơm rượu,lẻ 1 viên,,"2,000",1200,2024-03-04 15:22:21,"2,000","2,000",,,,,,,,,,,
19559858,k-men-t-b50,Men cơm rượu (bịch 50 viên),Các loại khác,Men cơm rượu,bịch 50 viên,,"100,000",60000,2024-03-04 15:22:22,,,,,,,,,,,,,
3749576,gd-nh-m-l1,Nàng Hoa - Mới (lẻ 1 kg),Gạo dẻo - gia đình,Nàng Hoa,lẻ 1 kg,nàng hoa mới đông xuân 24,"22,000",17600,2024-03-15 09:04:37,"18,600","18,800",,,"19,600",,"19,100",,"17,600","18,400",,"19,000",
17691672,gd-nh-l-l1,Nàng Hoa - Lở (lẻ 1 kg),Gạo dẻo - gia đình,Nàng Hoa,lẻ 1 kg,nàng hoa lở 5 tháng thu đông 23,"22,000",17500,2024-03-19 22:46:19,"18,600","18,800",,,"19,600",,"19,100",,"17,600","18,400",,"21,000",
19541512,gd-nh-m-b50,Nàng Hoa - Mới (bao 50 kg),Gạo dẻo - gia đình,Nàng Hoa,bao 50 kg,nàng hoa mới đông xuân 24,"1,100,000",880000,2024-03-15 09:04:37,,,,,,,"1,051,500",,"1,050,000",,,,
19541516,gd-nh-l-b50,Nàng Hoa - Lở (bao 50 kg),Gạo dẻo - gia đình,Nàng Hoa,bao 50 kg,nàng hoa lở 5 tháng thu đông 23,"1,100,000",875000,2024-03-19 22:46:19,,,,,,,"1,051,500",,"1,050,000",,,,
19559855,gch-nhhd-m-b25,Nàng Hoa sạch HC (bao 5 túi 25 kg),Gạo chính hãng,Nàng Hoa sạch HC,bao 5 túi 25 kg,,"550,000",518613.75,2024-03-04 15:22:22,,,,,,,,,,,,,
